source,trade_id,timestamp,event_type,total_buys,total_sells,total_trades,win_rate_pct,realized_pnl_usd,realized_pnl_sol,total_cost_usd,sold_income_usd,total_fees_usd,native_balance_sol,avg_holding_seconds,loss_gt_50,loss_0_50,profit_0_100,profit_100_400,profit_gt_400,token_address,token_amount,current_sol_balance,token_symbol,quote_amount_sol,buy_cost_usd,sold_usd,pnl_usd,pnl_pct,pnl_sol,is_win,score_at_buy,rug_ratio,source_strat,timestamp_open,timestamp_close,entry_price,smart_degen,bundler_rate,holder_count,price_usd,launchpad,tx_hash,gas_usd,dex_usd,priority_fee_sol,tip_fee_sol
bot_trade_log,44,2026-07-03 21:47:29 UTC,close,,,,,,,,,,,,,,,,,8Z12Faqh6vhekfFLiRHsaVGTMVDjumC5W1Qa5E3Tpump,,,ANSEMFY,0.05,,,,,-0.005,False,100,0,trending,2026-07-03 21:46:56 UTC,2026-07-03 21:47:29 UTC,,,,,,,,,,,
bot_positions,144,2026-07-03 21:47:29 UTC,close,,,,,,,,,,,,,,,,,iWgJCqNEto7KtkK2n2zuvixe1k5k4r26Zfg3Mkopump,,,Bullify,0.05,,,,,-0.005000000000000001,False,100,0.3466666666666667,trending,2026-07-03 21:46:56 UTC,2026-07-03 21:47:29 UTC,25970.7,4,0.1703,351,,,,,,,
bot_positions,145,2026-07-03 21:47:29 UTC,close,,,,,,,,,,,,,,,,,J17AUEy2Ya9jc65eVTqpmhoGx9RvZfTVMZkmM3uBpump,,,Assured,0.05,,,,,-0.005000000000000001,False,100,0,trending,2026-07-03 21:46:56 UTC,2026-07-03 21:47:29 UTC,35677.2,1,0.0623,73,,,,,,,
bot_positions,146,2026-07-03 21:47:29 UTC,close,,,,,,,,,,,,,,,,,8Z12Faqh6vhekfFLiRHsaVGTMVDjumC5W1Qa5E3Tpump,,,ANSEMFY,0.05,,,,,-0.005000000000000001,False,100,0,trending,2026-07-03 21:46:56 UTC,2026-07-03 21:47:29 UTC,10979.4,0,0.3779,57,,,,,,,
bot_trade_log,45,2026-07-03 23:01:28 UTC,close,,,,,,,,,,,,,,,,,Ha1PCAENzevF72niXP9ncnHowpWGiLdKPnBxUTjT1diW,,,Lil Z,0.05,,,,,-0.005,False,100,0,trending,2026-07-03 23:01:19 UTC,2026-07-03 23:01:28 UTC,,,,,,,,,,,
bot_trade_log,46,2026-07-03 23:01:28 UTC,close,,,,,,,,,,,,,,,,,GQAYAY29X4oumZyNa3bkLsFsqMFMWy2rS9RKLG8dpump,,,SIDELINED,0.05,,,,,-0.005,False,100,0,trending,2026-07-03 23:01:19 UTC,2026-07-03 23:01:28 UTC,,,,,,,,,,,
bot_positions,147,2026-07-03 23:01:28 UTC,close,,,,,,,,,,,,,,,,,Ha1PCAENzevF72niXP9ncnHowpWGiLdKPnBxUTjT1diW,,,Lil Z,0.05,,,,,-0.005000000000000001,False,100,0,trending,2026-07-03 23:01:19 UTC,2026-07-03 23:01:28 UTC,97837.3,6,0.461,594,,,,,,,
bot_positions,148,2026-07-03 23:01:29 UTC,close,,,,,,,,,,,,,,,,,GQAYAY29X4oumZyNa3bkLsFsqMFMWy2rS9RKLG8dpump,,,SIDELINED,0.05,,,,,-0.005000000000000001,False,100,0,trending,2026-07-03 23:01:19 UTC,2026-07-03 23:01:29 UTC,7329.88,1,0.1343,84,,,,,,,
bot_trade_log,47,2026-07-03 23:02:21 UTC,close,,,,,,,,,,,,,,,,,EAstmBUCe2SugEjULLE5iMptLs8LBisqPfz8u9Jupump,,,Bool,0.05,,,,,-0.005,False,100,0,trending,2026-07-03 23:01:49 UTC,2026-07-03 23:02:21 UTC,,,,,,,,,,,
bot_trade_log,48,2026-07-03 23:02:21 UTC,close,,,,,,,,,,,,,,,,,KSDsxt6BppeiqmFWkbAkthw2TWUV44DDoRPavHvpump,,,CHILLANSEM,0.05,,,,,-0.005,False,100,0,trending,2026-07-03 23:01:49 UTC,2026-07-03 23:02:21 UTC,,,,,,,,,,,
bot_positions,149,2026-07-03 23:02:21 UTC,close,,,,,,,,,,,,,,,,,EAstmBUCe2SugEjULLE5iMptLs8LBisqPfz8u9Jupump,,,Bool,0.05,,,,,-0.005000000000000001,False,100,0,trending,2026-07-03 23:01:49 UTC,2026-07-03 23:02:21 UTC,13838.8,0,0.3557,72,,,,,,,
bot_positions,150,2026-07-03 23:02:22 UTC,close,,,,,,,,,,,,,,,,,KSDsxt6BppeiqmFWkbAkthw2TWUV44DDoRPavHvpump,,,CHILLANSEM,0.05,,,,,-0.005000000000000001,False,100,0,trending,2026-07-03 23:01:49 UTC,2026-07-03 23:02:22 UTC,4890.93,0,0.2055,48,,,,,,,
bot_trade_log,49,2026-07-03 23:03:21 UTC,close,,,,,,,,,,,,,,,,,6P4ymgiE5uU1ykebaAaKVRuUsXwfDvz3a23BYmtppump,,,Lil Z,0.05,,,,,-0.005,False,100,0.07,trending,2026-07-03 23:02:49 UTC,2026-07-03 23:03:21 UTC,,,,,,,,,,,
bot_positions,151,2026-07-03 23:03:21 UTC,close,,,,,,,,,,,,,,,,,6P4ymgiE5uU1ykebaAaKVRuUsXwfDvz3a23BYmtppump,,,Lil Z,0.05,,,,,-0.005000000000000001,False,100,0.07,trending,2026-07-03 23:02:49 UTC,2026-07-03 23:03:21 UTC,9432.71,1,0.318,68,,,,,,,
bot_trade_log,50,2026-07-03 23:04:24 UTC,close,,,,,,,,,,,,,,,,,3Jt6zJhbbDXEhosiyLymt2JjUgpUBeDEhM6mUFjkpump,,,novelty,0.05,,,,,-0.005,False,100,0,trending,2026-07-03 23:03:49 UTC,2026-07-03 23:04:24 UTC,,,,,,,,,,,
bot_trade_log,51,2026-07-03 23:04:24 UTC,close,,,,,,,,,,,,,,,,,7tc9uUS519TTbWZzSeTDhs1TsUa5B8tjK5N2b4krpump,,,Eagle,0.05,,,,,-0.005,False,100,0,trending,2026-07-03 23:04:19 UTC,2026-07-03 23:04:24 UTC,,,,,,,,,,,
bot_positions,152,2026-07-03 23:04:24 UTC,close,,,,,,,,,,,,,,,,,3Jt6zJhbbDXEhosiyLymt2JjUgpUBeDEhM6mUFjkpump,,,novelty,0.05,,,,,-0.005000000000000001,False,100,0,trending,2026-07-03 23:03:49 UTC,2026-07-03 23:04:24 UTC,13957,0,0.5004,232,,,,,,,
bot_positions,153,2026-07-03 23:04:24 UTC,close,,,,,,,,,,,,,,,,,7tc9uUS519TTbWZzSeTDhs1TsUa5B8tjK5N2b4krpump,,,Eagle,0.05,,,,,-0.005000000000000001,False,100,0,trending,2026-07-03 23:04:19 UTC,2026-07-03 23:04:24 UTC,7723.09,0,0.3817,59,,,,,,,
bot_trade_log,52,2026-07-03 23:05:21 UTC,close,,,,,,,,,,,,,,,,,D7BHfHMcLej5zUdYvm8Ez5VzBS3FgnGuJhP75MMjpump,,,WILLIAM,0.05,,,,,-0.005,False,100,0,trending,2026-07-03 23:04:49 UTC,2026-07-03 23:05:21 UTC,,,,,,,,,,,
bot_positions,154,2026-07-03 23:05:21 UTC,close,,,,,,,,,,,,,,,,,D7BHfHMcLej5zUdYvm8Ez5VzBS3FgnGuJhP75MMjpump,,,WILLIAM,0.05,,,,,-0.005000000000000001,False,100,0,trending,2026-07-03 23:04:49 UTC,2026-07-03 23:05:21 UTC,6356.45,0,0.2441,34,,,,,,,
bot_trade_log,53,2026-07-03 23:06:21 UTC,close,,,,,,,,,,,,,,,,,GydDQ7EuSjZE1JPauM9jd2Kc8UGbVbzp3nhx9Ntbpump,,,DEGEN5,0.05,,,,,-0.005,False,100,0,trending,2026-07-03 23:05:49 UTC,2026-07-03 23:06:21 UTC,,,,,,,,,,,
bot_trade_log,54,2026-07-03 23:06:21 UTC,close,,,,,,,,,,,,,,,,,HdDFB4DstepTna9ygWPeMQ2HCE2DXsLEtP5njHq3pump,,,NiggaToe,0.05,,,,,-0.005,False,100,0.05,trending,2026-07-03 23:05:49 UTC,2026-07-03 23:06:21 UTC,,,,,,,,,,,
bot_positions,155,2026-07-03 23:06:21 UTC,close,,,,,,,,,,,,,,,,,GydDQ7EuSjZE1JPauM9jd2Kc8UGbVbzp3nhx9Ntbpump,,,DEGEN5,0.05,,,,,-0.005000000000000001,False,100,0,trending,2026-07-03 23:05:49 UTC,2026-07-03 23:06:21 UTC,5777.01,0,0.2909,72,,,,,,,
bot_positions,156,2026-07-03 23:06:21 UTC,close,,,,,,,,,,,,,,,,,HdDFB4DstepTna9ygWPeMQ2HCE2DXsLEtP5njHq3pump,,,NiggaToe,0.05,,,,,-0.005000000000000001,False,100,0.05,trending,2026-07-03 23:05:49 UTC,2026-07-03 23:06:21 UTC,5283.11,1,0.32,27,,,,,,,
bot_trade_log,55,2026-07-03 23:07:21 UTC,close,,,,,,,,,,,,,,,,,6VQMkUGmWUcGMvVXaDU8QQayWEVMJw7ommf9PmfLpump,,,FAMSEM,0.05,,,,,-0.005,False,100,0,trending,2026-07-03 23:06:49 UTC,2026-07-03 23:07:21 UTC,,,,,,,,,,,
bot_trade_log,56,2026-07-03 23:07:21 UTC,close,,,,,,,,,,,,,,,,,txL9uMtvVdAq2fbJW57K4kL8f51E14Wc2qBeuhkpump,,,FAMSEM,0.05,,,,,-0.005,False,100,0,trending,2026-07-03 23:06:49 UTC,2026-07-03 23:07:21 UTC,,,,,,,,,,,
bot_positions,157,2026-07-03 23:07:21 UTC,close,,,,,,,,,,,,,,,,,6VQMkUGmWUcGMvVXaDU8QQayWEVMJw7ommf9PmfLpump,,,FAMSEM,0.05,,,,,-0.005000000000000001,False,100,0,trending,2026-07-03 23:06:49 UTC,2026-07-03 23:07:21 UTC,8057.47,0,0.3366,106,,,,,,,
bot_positions,158,2026-07-03 23:07:22 UTC,close,,,,,,,,,,,,,,,,,txL9uMtvVdAq2fbJW57K4kL8f51E14Wc2qBeuhkpump,,,FAMSEM,0.05,,,,,-0.005000000000000001,False,100,0,trending,2026-07-03 23:06:49 UTC,2026-07-03 23:07:22 UTC,2789.04,0,0.0569,10,,,,,,,
